source,target,co_documents,jaccard
Abdul Hamied Razak,Lintang Budiyanti Prameswari,7,0.0787
Agustina Arumsari,Nanik Sudaryati Deyang,52,0.0572
Agustina Arumsari,Prasetyo Hadi,17,0.0514
Anang Supriatna,Asep Yusuf Somantri,12,0.0536
Andri Mulyono,Asep Yusuf Somantri,32,0.1524
Andri Mulyono,Lodewyk Pusung,13,0.1040
Andri Mulyono,Muhammad Iwan Mahardan,7,0.1077
Andri Mulyono,Sulaeman Nahdi,8,0.0976
Andri Mulyono,Syarief Sulaeman Nahdi,10,0.0568
Arif Ferdianto,Tri Sulistiowati,9,0.1475
Asep Yusuf Somantri,Febrie Adriansyah,21,0.0614
Asep Yusuf Somantri,Krisna Murti,26,0.0893
Asep Yusuf Somantri,Lodewyk Pusung,26,0.0970
Asep Yusuf Somantri,Muhammad Iwan Mahardan,15,0.0704
Asep Yusuf Somantri,Sony Sonjaya,153,0.2211
Asep Yusuf Somantri,Sulaeman Nahdi,14,0.0603
Asep Yusuf Somantri,Syarief Sulaeman Nahdi,42,0.1400
Cak Imin,Muhaimin Iskandar,22,0.5366
Dadan Hindayana,Lodewyk Pusung,76,0.0673
Dadan Hindayana,Nanik Sudaryati Deyang,113,0.0645
Dadan Hindayana,Prabowo Subianto,432,0.1277
Dadan Hindayana,Sony Sonjaya,192,0.1228
Dadang Supriatna,Kang Ds,21,0.4773
Febrie Adriansyah,Sony Sonjaya,51,0.0672
Krisna Murti,Sony Sanjaya,14,0.0741
Krisna Murti,Sony Sonjaya,111,0.1700
Krisna Murti,Syarief Sulaeman Nahdi,15,0.0610
Lailatul Anisah,Tri Sulistiowati,10,0.1299
Lodewyk Pus,Lodewyk Pusung,8,0.0661
Lodewyk Pus,Sony Sanjaya,7,0.0625
Lodewyk Pusung,Muhammad Iwan Mahardan,7,0.0598
Lodewyk Pusung,Sony Sanjaya,21,0.1321
Lodewyk Pusung,Sony Sonjaya,75,0.1126
Lodewyk Pusung,Syarief Sulaeman Nahdi,12,0.0531
Muhammad Iwan Mahardan,Syarief Sulaeman Nahdi,10,0.0617
Nanik Sudaryati Deyang,Prabowo Subianto,341,0.1093
Nanik Sudaryati Deyang,Prasetyo Hadi,51,0.0603
Nanik Sudaryati Deyang,Sony Sonjaya,96,0.0736
Prabowo Subianto,Sony Sonjaya,168,0.0528
Sony Sanjaya,Sony Sonjaya,48,0.0703
Sony Sonjaya,Syarief Sulaeman Nahdi,82,0.1160
