entity,mentions,documents,degree,weighted_degree,betweenness,eigenvector_centrality,community
Abdul Hamied Razak,69,69,1,7.0000,0.000000,0.000000,0
Agustina Arumsari,298,206,2,69.0000,0.000000,0.000000,1
Anang Supriatna,37,37,1,12.0000,0.000000,0.000000,2
Andri Mulyono,58,43,5,70.0000,0.007360,0.000000,2
Arif Ferdianto,29,29,1,9.0000,0.000000,0.000000,3
Asep Yusuf Somantri,396,199,9,341.0000,0.094492,0.000000,2
Cak Imin,59,33,1,22.0000,0.000000,0.000000,4
Dadan Hindayana,1923,1110,4,813.0000,0.015195,0.000000,1
Dadang Supriatna,49,34,1,21.0000,0.000000,0.000000,5
Febrie Adriansyah,253,164,2,72.0000,0.000000,0.000000,2
Kang Ds,65,31,1,21.0000,0.000000,0.000000,5
Krisna Murti,355,118,4,166.0000,0.003561,0.000000,2
Lailatul Anisah,46,46,1,10.0000,0.000000,0.000000,3
Lintang Budiyanti Prameswari,27,27,1,7.0000,0.000000,0.000000,0
Lodewyk Pus,34,34,2,15.0000,0.000000,0.000000,2
Lodewyk Pusung,117,95,8,238.0000,0.067426,0.000000,2
Muhaimin Iskandar,34,30,1,22.0000,0.000000,0.000000,4
Muhammad Iwan Mahardan,35,29,4,39.0000,0.000000,0.000000,2
Nanik Sudaryati Deyang,2311,755,5,653.0000,0.079772,0.000000,1
Prabowo Subianto,8071,2705,3,941.0000,0.000000,0.000000,1
Prasetyo Hadi,246,142,2,68.0000,0.000000,0.000000,1
Purbaya Yudhi Sadewa,703,235,1,86.0000,0.000000,0.000000,6
Sony Sanjaya,98,85,4,90.0000,0.009734,0.000000,2
Sony Sonjaya,2089,646,9,976.0000,0.135802,0.000000,2
Sulaeman Nahdi,47,47,2,22.0000,0.000000,0.000000,2
Syarief Sulaeman Nahdi,150,143,6,171.0000,0.011159,0.000000,2
Tri Sulistiowati,41,41,2,19.0000,0.002849,0.000000,3
Yudhi Sadewa,122,110,1,86.0000,0.000000,0.000000,6
